Регион;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
Тюмень;3292996;731809;0.22223197355842522;1211.6043046357615;4758;604;1704;2;605;1210
Новосибирск;2431450;510154;0.2098147196117543;1065.0396659707724;4750;479;1723;3;498;1024
Новомосковск;1199475;254948;0.21254965714166615;681.6791443850267;2993;374;1254;3;287;888
Мытищи (Мытищинский район);1853675;343234;0.1851640659770456;526.4325153374233;2465;652;2603;3;593;579
Орск;886887;234435;0.2643346897631829;1227.4083769633507;4273;191;509;2;176;1332
Новое Подвязново (Ногинский район);4094;1432;0.3497801660967269;1432.0;4443;1;3;3;1;1432
Тамбов;1920175;492100;0.25627872459541445;1245.8227848101267;4428;395;1256;3;368;1337
Владимир;1080865;256650;0.23744871006092344;1006.4705882352941;3886;255;681;2;247;1039
Павловский Посад (Павлово-Посадский район);730358;158591;0.2171414566555032;612.3204633204633;2635;259;937;3;189;839
Архангельск;1293231;268440;0.2075731249869513;983.2967032967033;4461;273;888;3;232;1157
Балашиха (Балашихинский район);1297296;263141;0.20283805700472368;558.6857749469215;2484;471;1759;3;407;647
Селятино (Наро-Фоминский район);15931;1494;0.0937794237649865;373.5;4020;4;23;6;4;374
Старая Купавна (Ногинский район);18660;4314;0.23118971061093246;2157.0;9529;2;3;2;2;2157
Оренбург;1594681;342210;0.21459464306654435;991.9130434782609;4189;345;1049;3;326;1050
Чита;1281898;269761;0.21043874005576108;1057.886274509804;4928;255;891;3;213;1266
Пермь;3591350;764017;0.2127381068400462;880.2039170506912;3441;868;3023;3;845;904
Брянск;1794175;390609;0.21770953223626457;904.1875;3569;432;1336;3;403;969
Петрозаводск;626001;145555;0.23251560301021884;904.0683229813665;3944;161;386;2;144;1011
Ногинск (Ногинский район);711777;179009;0.2514959039137258;989.0;3956;181;673;4;158;1133
Балаково;804257;193456;0.24054002638460095;992.0820512820513;3907;195;496;2;176;1099
Дзержинский (Московская область район);186812;13870;0.07424576579662977;288.9583333333333;3869;48;195;4;41;338
Ульяновск;1970699;407833;0.20694839749753768;798.1076320939335;3371;511;1550;3;488;836
Колпино;687083;150401;0.21889786241254697;748.2636815920398;3348;201;654;3;168;895
Ярославль;2471953;541981;0.21925214597526732;1034.3148854961833;4440;524;1348;2;507;1069
Уфа;1792664;330109;0.18414437953793908;745.1670428893905;3624;443;1393;3;414;797
Сочи;2643233;599279;0.22672197267512928;1053.2144112478031;4383;569;2290;4;483;1241
Электросталь (Московская область район);1201823;276704;0.23023689844511214;702.2944162436548;2581;394;1249;3;346;800
